run_id,job_id,stage_id,task,note,files_read,input_size_bytes,shuffle_read_bytes,shuffle_write_bytes,timestamp
rdd_top10,,107,runJob at PythonRDD.scala:189,Top10 RDD,0,0,353,0,2025-10-27T17:34:17.501721
rdd_top10,,106,sortBy at /tmp/ipykernel_1843/3939555140.py:5,Top10 RDD,0,0,762,676,2025-10-27T17:34:17.501735
rdd_top10,,105,reduceByKey at /tmp/ipykernel_1843/3939555140.py:4,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501738
rdd_top10,,104,sortBy at /tmp/ipykernel_1843/3939555140.py:5,Top10 RDD,0,0,762,0,2025-10-27T17:34:17.501740
rdd_top10,,103,reduceByKey at /tmp/ipykernel_1843/3939555140.py:4,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501742
rdd_top10,,102,sortBy at /tmp/ipykernel_1843/3939555140.py:5,Top10 RDD,0,0,762,0,2025-10-27T17:34:17.501744
rdd_top10,,101,reduceByKey at /tmp/ipykernel_1843/3939555140.py:4,Top10 RDD,2,184752,0,762,2025-10-27T17:34:17.501746
rdd_top10,,100,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,59,0,2025-10-27T17:34:17.501748
rdd_top10,,99,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501751
rdd_top10,,98,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501753
rdd_top10,,97,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,560,59,2025-10-27T17:34:17.501754
rdd_top10,,96,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501757
rdd_top10,,95,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,2,184752,0,560,2025-10-27T17:34:17.501759
